id;redgres
1,e31
2,e60
3,e61
4,e64
5,e36
6,e55
7,e41
8,e50
9,e46
10,e45
11,e51
12,e40
13,e65
14,e68
15,e56
16,e35
17,re31
18,re60
19,re61
20,re64
21,re36
22,re55
23,re41
24,re50
25,re46
26,re45
27,re51
28,re40
29,re65
30,re68
31,re56
32,re35
