vehicle_id,distance_travelled
4,2480.48
10,2480.48
38,2457.04
12,2480.48
58,2471.44
16,2471.44
45,2480.48
5,2471.44
62,2471.44
57,2457.04
71,2471.44
35,2471.44
91,2457.04
19,2480.48
41,2471.44
84,2480.48
69,2471.44
76,2480.48
73,2471.44
36,2941.8
54,2471.44
65,2471.44
29,2964.2
33,2974.26
28,3357.53
52,2973.23
14,2480.48
27,2480.48
2,3733.22
30,2480.48
18,2974.93
61,2974.93
66,2480.48
37,2974.93
82,2480.48
108,2471.44
124,2457.04
60,2471.44
106,2471.44
56,2954.29
1,3795.32
101,2480.48
102,2480.48
17,2974.93
21,2974.93
93,2973.23
130,2928.04
11,3682.58
50,2974.93
149,2471.44
99,3367.96
154,2471.44
114,2974.93
186,2471.44
80,3387.54
111,2471.44
112,2974.93
44,3387.54
117,3335.78
156,2471.44
189,2471.44
147,2480.48
165,2471.44
8,3682.74
197,2471.44
208,2442.64
7,3786.12
46,3387.31
155,2947.17
184,2471.44
26,2974.93
63,2974.93
202,2941.8
23,4087.92
68,2974.93
162,2457.03
116,3319.05
190,2471.44
148,2480.48
217,2471.44
39,3678.11
239,2471.44
15,3682.74
167,2480.48
209,2471.44
86,3795.32
161,2480.48
172,2480.48
247,2471.44
43,3387.71
174,2480.48
191,2480.48
223,2442.63
32,3971.39
201,2480.48
230,2433.58
133,2480.48
170,2480.48
9,3795.32
188,3316.54
144,2480.48
228,2471.44
77,3971.39
262,2419.18
110,2974.93
246,2471.44
49,3387.31
90,2973.22
150,3358.93
104,3338.29
140,2974.93
221,2480.48
232,2480.48
127,2974.93
51,3971.39
219,2930.86
200,2480.48
136,2973.22
275,2471.44
234,2471.44
222,2480.48
269,2471.44
128,2954.29
88,4323.65
248,2480.48
20,4087.66
251,2480.48
236,3318.71
307,2471.44
70,4670.82
85,3387.54
179,2974.26
6,4087.66
40,3795.15
67,3682.74
240,2471.44
249,2480.48
72,4087.76
214,2480.48
250,2480.48
24,4087.66
125,3387.2
198,2974.93
203,3314.8
79,4087.76
258,2480.48
143,3709.77
168,2974.93
259,2480.48
313,2457.03
260,2480.48
96,3971.39
266,2480.48
177,2974.93
218,2974.93
274,2471.44
329,2480.48
297,2922.87
281,2471.44
83,3795.26
296,2471.44
47,4087.92
360,2457.04
301,2471.44
100,3795.32
295,2480.48
337,2442.64
25,4378.61
137,4306.95
3,4087.76
152,3971.39
213,3719.98
231,2973.23
390,2433.58
216,2974.93
53,4958.52
211,3743.43
310,2471.44
87,4378.61
81,4378.23
314,2471.44
317,2471.44
324,2471.44
282,2471.44
325,2471.44
107,4087.76
330,2471.44
78,4958.52
283,2471.44
338,2471.44
292,2471.44
48,4958.52
89,4378.61
308,2471.44
22,3678.13
139,3678.11
13,4670.82
109,4330.44
241,2974.93
64,4665.26
42,4670.82
142,3682.74
264,2954.29
398,2471.44
113,4087.92
126,3387.71
187,4087.92
358,2471.44
353,2480.48
357,2480.48
75,4965.85
244,2974.93
166,3766.88
277,2974.93
417,2471.44
286,3766.88
132,3971.39
309,2480.48
95,3795.32
98,4670.81
372,2471.44
103,3795.32
280,2974.93
403,2471.44
355,2941.8
224,3719.98
418,2457.03
97,4670.81
302,3724.19
388,2471.44
371,2480.48
289,2974.93
34,4670.83
287,3724.19
370,2480.48
153,4373.03
380,2480.48
233,2974.93
442,2471.44
123,3678.13
94,3795.32
311,2974.93
382,2480.48
120,3795.32
346,3318.71
181,3971.39
173,3795.32
243,2973.23
339,3724.19
55,4958.52
169,4087.66
315,2974.93
178,3795.32
261,2974.26
336,2928.04
423,2457.04
146,3795.15
226,2974.26
194,4309.46
415,2457.04
306,3344.81
395,2471.44
404,3316.54
461,2442.63
408,2471.44
164,3387.31
487,2442.63
176,3387.54
182,3387.31
105,4665.25
298,3335.78
431,2471.44
31,4958.53
135,3678.13
185,4378.61
434,2471.44
238,3387.31
321,2974.93
121,4087.76
175,4670.82
59,4965.87
276,3387.31
229,2973.22
118,4965.84
119,4965.87
131,4965.84
227,2973.22
356,3747.64
392,2480.48
237,3682.74
272,2973.22
245,2974.93
391,2480.48
429,2480.48
157,4378.23
453,2471.44
159,3795.26
454,2471.44
163,4958.52
180,4965.84
278,2974.93
288,3795.26
279,2974.93
367,3335.78
285,3971.39
378,2974.93
199,4353.66
385,3700.74
271,2974.93
134,3971.39
318,2974.93
323,2480.48
328,2974.93
141,3971.39
74,4965.84
361,2480.48
396,2480.48
477,2471.44
145,3678.13
205,3682.58
401,2480.48
411,2480.48
419,2471.44
428,2480.48
432,2480.48
195,4965.86
451,2480.48
138,4087.76
204,4965.86
270,3682.74
291,2974.93
433,2480.48
206,3965.81
397,3323.83
421,2946.97
468,2471.44
115,3795.15
412,3335.78
441,2480.48
476,2471.44
215,3795.15
158,4958.53
424,2480.48
171,4958.53
439,2480.48
263,2973.22
490,2471.44
196,4958.52
394,2974.93
522,2471.44
160,4087.66
503,2480.48
305,3739.22
151,4670.82
340,2974.93
253,3387.71
530,2471.44
536,2471.44
507,2480.48
546,2471.44
400,2974.26
616,2457.04
374,2974.93
210,4965.86
255,4087.76
462,2974.93
545,2471.44
558,2471.44
559,2471.44
320,3682.74
516,2941.8
122,4960.3
192,3795.15
220,3682.74
265,3971.39
557,2471.44
334,4323.65
331,3682.74
347,3387.71
225,4958.52
550,2457.03
570,2442.63
578,2471.44
484,3312.3
129,4960.3
595,2457.04
304,3387.71
352,3743.43
212,4378.23
449,3323.83
481,2480.48
193,3795.32
267,3682.74
257,4087.66
375,2974.93
384,2974.93
501,2480.48
284,4670.82
389,2974.93
509,2480.48
445,2974.93
514,2480.48
518,2480.48
620,2471.44
533,2480.48
491,2480.48
456,2974.93
472,2974.93
475,2974.93
541,2480.48
527,2965.9
554,2480.48
547,2480.48
312,3387.54
565,2480.48
92,4965.85
235,4958.52
537,2471.44
613,2471.44
342,3971.39
467,2974.93
631,2471.44
513,2956.0
351,3387.31
369,4349.68
525,2951.7
627,2471.44
299,3682.74
300,4087.76
598,2480.48
406,4632.65
596,2471.44
256,4670.81
606,2480.48
290,4378.61
348,3387.71
365,3387.31
611,2480.48
386,3387.31
641,2480.48
544,2937.07
623,3316.54
373,3795.32
560,2974.93
591,2442.63
440,3731.68
470,2974.26
521,2480.48
254,4087.92
590,2480.48
377,4958.52
657,2480.48
414,4087.92
599,2471.44
628,2480.48
604,2480.48
609,3295.56
610,2471.44
319,4670.81
540,2480.48
625,2471.44
207,4373.03
626,2480.48
344,4373.03
366,3682.74
642,2471.44
333,4670.81
499,2973.23
345,4670.81
633,2480.48
349,3795.32
471,2974.93
548,2480.48
332,4087.66
574,2974.93
268,3682.58
426,3971.39
567,2471.44
497,2974.93
410,3387.71
316,4087.76
327,4378.23
505,2974.93
680,2937.07
322,4670.83
273,3682.58
362,4087.66
531,2973.23
694,2471.44
183,4665.26
350,3682.58
459,3387.54
555,2973.23
601,2471.44
376,3795.32
242,4670.82
438,3387.71
482,2973.22
252,3795.15
354,3682.58
634,2471.44
363,3682.58
534,2974.93
651,2471.44
413,4922.62
381,4641.76
583,2480.48
643,2480.48
343,4087.76
656,2480.48
524,2974.93
416,4378.61
542,2961.37
326,3971.39
673,2480.48
703,2471.44
691,2471.44
711,2471.44
465,3971.39
485,2974.93
500,4611.67
693,2471.44
551,4609.22
402,3795.26
661,2480.48
701,2471.44
666,2480.48
383,4670.82
473,4087.92
293,4670.81
535,3795.26
368,4965.84
489,3971.39
539,4637.17
614,3387.54
486,4087.66
294,4965.86
387,4965.85
425,4965.86
393,4965.85
630,3344.81
704,2471.44
717,2480.48
629,3743.43
502,2974.93
553,3740.93
761,2471.44
802,2442.64
511,2974.93
762,2471.44
359,4958.53
444,4087.66
769,2471.44
458,3682.24
488,4087.92
722,2471.44
447,4087.76
526,4373.03
399,3682.74
504,4651.57
615,3678.13
450,3682.58
728,2471.44
364,4670.83
435,4378.61
735,2457.03
379,3387.71
584,2974.93
685,2480.48
594,2974.93
448,4665.25
645,2480.48
700,2480.48
335,3387.54
585,2973.22
783,2471.44
420,3387.54
646,2974.93
720,2471.44
718,2480.48
754,2457.04
517,3682.74
727,2471.44
748,2471.44
455,4958.52
466,3387.54
737,2480.48
552,3795.32
707,2946.97
749,2471.44
569,3370.97
430,4958.53
479,4087.66
436,3795.32
496,3387.54
498,3795.32
736,2960.73
405,4087.76
303,4958.52
341,4958.52
692,2974.93
409,4965.84
658,3663.65
793,2471.44
519,2974.93
422,4958.52
632,2973.22
457,4958.52
624,2974.93
637,2974.93
712,2480.48
747,2471.44
460,3795.15
493,4958.52
751,2471.44
652,2974.93
713,2480.48
576,3795.15
752,2471.44
698,2956.0
573,3387.71
759,2471.44
660,3387.71
772,2471.44
807,2471.44
532,4670.82
452,4670.82
639,3387.54
677,3638.31
407,4960.3
649,2480.48
427,4965.86
446,4965.86
528,4670.82
708,3747.64
597,4087.66
668,3366.73
494,3795.32
508,4965.86
566,2974.26
767,2471.44
787,2471.44
810,2945.66
538,4670.81
768,2471.44
795,2471.44
602,3661.76
607,3795.32
825,2471.44
617,3682.74
679,2974.93
512,3682.74
549,4670.81
619,4087.66
635,3682.74
788,2480.48
667,2480.48
792,2480.48
850,2457.03
697,2480.48
781,2471.44
841,2471.44
529,4951.44
464,4958.52
523,3971.39
827,2471.44
828,2480.48
640,2974.26
840,2457.04
495,4378.61
568,2974.93
856,2457.03
556,4965.84
687,2974.93
766,2480.48
843,2480.48
543,4670.82
831,2471.44
914,2442.63
478,4958.52
863,2908.47
463,4965.87
443,4958.53
469,4965.87
721,2480.48
782,2974.93
563,3682.58
729,2480.48
492,3671.49
593,4378.61
742,2480.48
437,4670.81
731,2973.22
823,2480.48
872,2471.44
561,4378.61
586,4373.03
669,4651.05
714,2974.93
849,2480.48
760,2974.93
770,2974.93
562,4378.61
581,3671.49
644,3965.83
824,2922.67
879,2471.44
577,4935.09
621,4087.76
740,2973.22
885,2471.44
600,3971.39
689,4040.39
690,3971.39
688,4364.35
710,3971.39
515,4965.86
605,4378.23
636,4637.38
880,2937.07
726,2974.93
480,4958.52
571,3678.11
895,2471.44
936,2471.44
653,3682.58
948,2442.63
987,2419.18
662,3795.32
794,2480.48
672,3795.32
506,4081.36
674,3682.74
719,4081.36
799,2480.48
483,4958.52
638,4635.43
857,2480.48
858,2480.48
753,2973.22
837,2480.48
908,2471.44
510,4665.26
580,3795.32
588,4087.76
820,2974.93
862,2480.48
851,2974.93
890,2471.44
950,2471.44
845,2480.48
899,2471.44
582,3795.32
682,3971.39
869,2480.48
954,2471.44
898,2480.48
859,2480.48
870,2480.48
618,3795.32
764,3971.39
817,3650.06
874,2480.48
901,2480.48
956,2480.48
664,4087.66
702,3795.15
912,2480.48
913,2471.44
965,2480.48
684,3795.32
915,2480.48
474,4965.87
931,2471.44
925,2480.48
572,4965.87
876,2942.44
579,4965.87
975,2471.44
564,4965.84
868,2974.93
575,4965.86
650,4670.81
821,3731.68
612,3682.74
771,3738.39
741,3387.71
647,3682.74
935,2471.44
622,4670.82
774,2974.93
776,2974.93
982,2480.48
733,2973.22
648,3682.74
1031,2457.03
671,3682.74
724,4087.66
976,2471.44
855,2480.48
603,3678.11
801,2947.17
978,2928.24
818,2974.93
970,2471.44
1013,2471.44
853,4625.34
659,3678.11
882,2974.93
884,2480.48
1008,2442.63
803,4012.35
888,2480.48
681,4640.81
891,2480.48
587,4965.84
905,2480.48
907,3330.74
756,4068.99
922,2480.48
608,4965.87
678,3387.31
955,2480.48
745,4965.85
746,4965.85
750,4087.76
902,2480.48
755,3965.83
765,3795.32
805,2974.93
780,3971.39
709,4357.77
784,3971.39
993,2480.48
854,4073.52
655,4670.81
822,3971.39
996,2480.48
1020,2480.48
861,4014.34
999,2471.44
716,3971.39
923,2974.26
520,4960.3
941,2974.26
1001,2471.44
1009,2480.48
744,4373.03
804,4087.66
592,4960.3
670,4670.81
730,4960.3
826,2974.93
1015,2480.48
1055,2471.44
732,4960.3
871,3387.71
1039,2480.48
1059,2471.44
1045,2480.48
1071,2471.44
654,4670.82
723,4965.86
939,3640.16
739,3682.74
785,3971.39
796,3682.74
786,3678.11
944,2974.26
738,4081.36
806,2974.26
1012,2471.44
1033,2471.44
773,2974.93
791,3678.11
844,2974.26
812,2974.93
864,2974.26
966,4026.14
911,4031.27
1094,2471.44
932,2974.93
1028,2480.48
887,2974.93
696,4087.76
964,2974.93
1089,2471.44
676,4958.53
973,2974.93
1040,2480.48
974,2974.93
1024,2471.44
686,4670.83
1011,2960.06
1027,2471.44
675,3795.15
980,2480.48
1051,2480.48
734,3387.54
946,2974.93
1037,2471.44
705,3795.32
866,3387.71
958,2974.93
1098,2471.44
1021,2974.26
1078,2471.44
1091,2471.44
777,4087.76
1025,2974.26
1105,2471.44
757,3795.32
1115,2471.44
706,3678.13
725,4958.53
1084,2480.48
779,3678.13
867,3326.44
1097,2480.48
790,2973.22
814,3795.32
1006,3682.74
663,4958.52
589,4958.53
847,3387.71
1147,2457.03
665,4958.52
815,3678.13
1095,2471.44
1111,2471.44
893,4625.34
1133,2471.44
1136,2471.44
1166,2471.44
929,3387.71
992,2974.93
1101,2480.48
1130,2471.44
1151,2471.44
953,2974.93
1118,2480.48
1155,2471.44
699,4670.83
1123,2480.48
758,4670.83
1053,2974.93
1131,2480.48
883,3755.13
839,4965.85
951,4583.7
1138,2471.44
1158,2480.48
1160,2480.48
995,4378.61
811,4087.66
873,4066.94
798,4670.82
881,3757.67
836,3795.32
1187,2471.44
1023,2974.93
830,2973.22
797,4665.26
789,3971.39
848,3971.39
1149,2457.03
959,3971.39
1002,2974.93
1047,2974.93
1126,2480.48
1169,2480.48
1170,2480.48
1167,2480.48
1174,2480.48
683,4958.52
1175,2480.48
1193,2480.48
892,3971.39
1161,2471.44
894,2973.23
983,3644.41
695,4965.84
816,4378.61
1185,2480.48
809,4965.84
1219,2480.48
832,4378.61
1060,3387.54
967,3971.39
1052,3467.58
1215,2471.44
1172,2471.44
743,4958.53
991,3387.71
1198,2471.44
1056,3682.74
1199,2471.44
1231,2471.44
1240,2471.44
778,4670.81
897,3677.73
1248,2471.44
813,4670.82
981,2973.23
1073,2974.93
1081,2974.26
1088,2974.93
1195,2471.44
852,3682.74
906,3795.15
1093,2974.93
1202,2471.44
1209,2471.44
903,4623.67
1103,2974.93
916,3682.74
1216,2471.44
829,4958.52
910,4958.52
962,4314.35
977,2480.48
1243,2471.44
846,4670.82
918,4087.76
763,4965.86
1226,3316.54
994,2480.48
800,4087.92
838,4965.86
865,3795.26
877,3682.74
926,3682.74
909,3387.71
920,4670.82
1143,2974.93
984,4087.92
1096,2480.48
1220,2457.04
1108,2974.93
945,4965.84
1107,3616.46
1153,2974.93
1235,2457.03
1250,2471.44
917,4958.52
1152,2480.48
1265,2471.44
833,3795.15
715,4378.23
1072,2974.93
834,4087.66
1076,2974.93
919,4958.53
1067,3795.32
1083,3626.61
1139,3764.38
1186,3312.3
835,4378.23
942,3682.58
819,4668.06
1194,2959.86
1259,2471.44
1114,2973.23
1212,2956.0
1069,3678.11
1087,2974.93
1206,2480.48
1282,2471.44
1113,2974.26
1223,2959.86
1066,4332.53
775,4960.3
1110,2974.93
1141,2480.48
1163,2974.93
900,4085.0
875,4087.66
1112,3714.94
1249,2941.8
808,4670.83
886,4670.83
1168,2974.93
924,4378.61
1026,4618.25
1079,2974.93
1203,4006.31
1178,2974.93
1208,2480.48
1290,2471.44
1211,2480.48
889,4958.52
1035,3387.71
1297,2471.44
1217,2471.44
1221,2480.48
971,3682.74
1296,2471.44
860,3387.54
1030,4606.56
1044,2890.02
1057,4087.76
1272,2471.44
938,4951.17
1064,4351.54
1251,2480.48
904,4965.86
1010,3971.39
1018,4087.92
927,4670.83
940,4965.86
1077,3663.81
1237,4036.0
960,4965.84
928,4087.66
1183,2974.93
930,3677.73
1307,2928.04
1271,2927.4
1292,2471.44
1054,3971.39
1146,4922.62
1321,2471.44
1116,2974.93
952,3795.32
1121,3965.83
1000,3795.32
1267,2471.44
947,4087.76
1239,2480.48
1277,2471.44
1003,4378.23
1285,2471.44
1256,2480.48
1304,2471.44
1065,3971.39
1213,3717.48
1344,2471.44
1124,3971.39
1234,3747.64
1359,2922.87
1192,2974.93
1371,2442.63
943,4958.53
1058,4958.53
1070,3387.71
1049,4965.87
1316,2480.48
1319,2457.03
998,4958.51
1337,2480.48
1082,3682.74
1232,3625.45
1190,3731.68
1244,2974.93
1017,4670.83
1173,4608.35
1246,2974.93
1276,2974.93
1247,2974.93
934,4378.61
1063,2890.02
1140,4922.83
896,4087.76
1334,2480.48
1351,2471.44
842,4670.82
1180,4601.57
1005,4965.86
1014,4965.85
1218,3333.25
1375,2471.44
1029,4965.86
1389,2471.44
1346,2471.44
1236,2974.93
1378,2471.44
1392,2471.44
1329,2956.0
1270,2974.93
1383,2471.44
1404,2471.44
937,3679.48
1386,2471.44
968,4378.61
1405,2471.44
949,3679.48
1120,4378.61
963,3679.48
1420,2471.44
1421,2471.44
1062,4958.51
878,4965.87
1399,2471.44
1032,4087.76
1428,2471.44
1019,4378.61
1042,4378.61
1252,2974.26
1436,2471.44
1205,3971.39
1302,3340.03
1034,4958.52
1090,4378.61
1038,4620.76
1074,4087.92
1129,3682.58
1253,4059.29
1349,2974.93
986,3679.48
1437,2471.44
979,4670.82
990,3679.48
1440,2471.44
1260,2480.48
1287,2974.93
1446,2471.44
1448,2471.44
1050,3971.39
1099,3965.81
1452,2471.44
997,4965.87
1228,3965.84
989,3677.73
1338,2974.93
1086,3677.73
1439,2471.44
1238,4378.61
1460,2922.87
1061,4081.36
1409,2480.48
1068,2890.02
1171,4942.19
1407,2974.93
1449,2480.48
1132,3682.58
1204,3971.39
1145,3682.58
1022,4087.6
1411,2960.73
933,3971.39
1500,2480.48
985,4965.86
1176,3671.49
1458,2471.44
1354,2974.93
1468,2471.44
969,3682.74
1109,4958.52
1355,2480.48
1384,2974.93
1482,2471.44
1490,2471.44
1333,2974.26
1150,4965.85
1496,2457.03
1157,4958.52
1201,4920.66
1419,2974.93
1156,3682.74
957,4087.92
1122,3682.58
1007,3795.26
1268,3740.93
1522,2471.44
1571,2419.18
1092,4958.53
1048,3795.26
1369,2419.18
1004,4670.82
1085,4670.82
1398,2974.93
1041,4668.06
1182,3965.84
1422,2974.93
1134,3771.81
1196,3965.84
1341,2974.93
1569,2419.18
1197,4045.07
1498,2471.44
1162,4670.82
1207,3965.84
1358,2974.26
1080,3387.71
1200,4670.82
1455,2941.6
1102,3795.26
1137,3682.58
1454,2941.6
1380,2974.26
1381,2974.93
1046,4668.06
1533,2419.18
1315,2974.26
1388,2419.18
1164,4958.52
1342,2974.26
1391,2974.26
1456,2947.17
1427,2974.26
1224,4378.61
1314,2480.48
1328,2480.48
1546,2471.44
1418,2480.48
1188,3387.71
1336,2974.93
1159,3387.71
1184,3956.78
1360,3350.02
1242,4949.49
1394,2480.48
1425,2480.48
1075,3387.54
1119,4087.92
1512,2471.44
1322,3920.87
1433,2480.48
1461,2974.93
1434,4002.45
1117,3974.91
1453,2480.48
1536,2457.04
1537,2913.64
1573,2457.04
1301,3965.84
1476,2480.48
1181,4372.93
1503,2480.48
961,3795.15
988,4665.26
1179,4958.51
1036,4665.26
1464,2480.48
1540,2480.48
972,3795.32
1043,3795.32
1144,4665.26
1505,2480.48
1548,2480.48
1016,4081.42
1556,2480.48
1154,4665.26
1543,2480.48
1100,4081.42
1520,2471.44
1550,2480.48
1189,3974.91
1400,3922.83
1516,2457.03
1273,3971.39
1435,3944.32
1165,4087.66
1281,4616.2
1564,2471.44
1525,2471.44
1575,2471.44
