vehicle_id,distance_travelled
39,2471.44
30,2471.44
42,2471.44
53,2457.04
31,2457.03
20,2480.48
6,2471.44
22,2954.29
41,2471.44
48,2471.44
66,2471.44
9,2974.93
60,2471.44
49,2480.48
72,2471.44
17,2956.2
24,2973.22
74,2471.44
77,2471.44
78,2480.48
71,2480.48
75,2480.48
82,2480.48
100,2471.44
107,2471.44
16,3387.54
92,2471.44
23,2890.42
67,2471.44
59,2890.42
79,2471.44
61,2890.42
50,2471.44
103,2471.44
63,2471.44
86,2471.44
125,2471.44
36,2480.48
97,2471.44
89,2480.48
38,2480.48
111,2471.44
110,2471.44
85,2480.48
33,2974.93
81,2974.93
135,2471.44
116,2480.48
51,2974.26
46,2974.93
83,2480.48
132,2471.44
43,3387.2
139,2471.44
150,2471.44
4,4087.6
112,2480.48
161,2471.44
189,2471.44
145,2471.44
26,2974.93
147,2471.44
65,2974.93
175,2471.44
177,2471.44
129,2480.48
193,2471.44
3,3795.15
156,2480.48
203,2471.44
164,2480.48
87,2974.93
99,2974.93
165,2471.44
198,2480.48
96,2974.93
10,4087.76
167,2471.44
18,3795.15
119,2480.48
13,4087.92
136,2480.48
176,2480.48
5,2890.02
91,2974.93
180,2480.48
45,2973.22
162,2480.48
80,2973.22
188,2480.48
2,3971.39
52,3678.13
21,4378.61
220,2471.44
221,2471.44
200,2942.44
106,2974.26
8,3387.71
211,2480.48
19,3387.71
69,2974.93
172,3319.05
184,2471.44
196,2471.44
7,3387.31
25,4373.07
144,2974.93
247,2471.44
231,2471.44
27,3387.31
229,2480.48
101,2973.22
170,2974.26
202,2955.33
223,2471.44
15,4087.76
241,2471.44
245,2471.44
44,3364.05
166,2974.93
249,2471.44
141,3335.78
260,2480.48
251,2471.44
1,4087.92
73,4087.92
93,2890.02
262,2480.48
118,2973.22
256,2471.44
267,2480.48
14,3677.73
152,3343.07
268,2480.48
120,2974.93
146,3364.05
235,2471.44
68,3795.32
254,2471.44
266,2471.44
284,2471.44
84,4323.65
149,2974.93
287,2471.44
35,3795.32
214,2480.48
289,2471.44
95,3677.73
173,2974.93
55,4378.61
90,3387.71
274,2471.44
12,4958.52
76,3387.71
233,2480.48
64,2974.93
34,4668.06
122,2974.93
11,4670.82
250,2480.48
54,3795.15
88,3795.15
292,2471.44
94,3795.15
108,4087.76
192,2974.93
121,2974.26
302,2471.44
210,2974.93
316,2471.44
326,2471.44
28,4958.52
183,2974.93
114,3971.39
130,2973.22
185,2974.93
304,2471.44
216,2890.42
310,2471.44
98,3387.54
37,4665.25
264,2973.23
190,3387.54
219,2890.42
325,2471.44
29,4958.52
104,4378.61
230,2974.93
62,4373.03
186,2974.26
169,2890.02
234,2974.93
195,2890.02
315,2480.48
226,2890.02
322,2471.44
225,2974.93
351,2471.44
343,2480.48
40,3795.32
305,2457.03
206,3387.71
102,3795.15
252,2480.48
32,4670.82
342,2480.48
319,2471.44
56,3795.32
327,2471.44
113,3971.39
337,2471.44
124,3795.32
294,2480.48
354,2471.44
157,3795.32
128,2974.93
138,3795.15
70,4670.82
109,3387.31
133,3971.39
58,4958.52
187,3387.71
137,3965.81
57,4965.85
179,3971.39
365,2442.63
123,4087.76
151,3678.11
408,2442.63
126,2973.22
131,3366.33
163,3795.15
314,2480.48
366,2471.44
321,2480.48
333,2937.07
155,3965.81
154,2974.26
194,2974.26
148,4342.9
178,2974.26
237,2890.42
272,2974.26
143,4670.82
159,3678.11
355,2471.44
409,2471.44
257,2974.93
153,3682.58
253,3387.54
285,2974.93
197,3387.31
312,2941.8
228,3387.31
332,2974.93
127,4373.03
348,2480.48
346,2480.48
47,4958.52
300,2974.26
199,3971.39
403,2480.48
434,2471.44
459,2471.44
174,4087.76
205,3795.15
407,2471.44
246,2974.93
259,2974.93
368,2471.44
391,2471.44
279,2890.02
286,2890.02
425,2480.48
168,4965.87
431,2471.44
389,2974.93
426,2480.48
437,2471.44
265,3387.71
323,2890.02
232,3678.13
105,4965.85
117,4958.52
411,2480.48
358,3335.79
182,4378.61
473,2466.08
467,2480.48
208,4052.54
457,2471.44
440,2471.44
160,4373.07
450,2471.44
142,4665.25
201,3795.32
339,2974.93
493,2471.44
236,4378.61
244,4087.92
384,2480.48
472,2471.44
475,2471.44
261,3387.54
171,4670.82
477,2471.44
466,2471.44
482,2471.44
490,2471.44
217,4378.49
271,3752.46
492,2471.44
239,4378.61
499,2471.44
276,3678.11
502,2471.44
134,4958.52
255,4378.61
441,2480.48
115,4670.81
448,2480.48
191,4339.6
527,2442.63
227,4958.52
281,3678.11
462,2480.48
530,2471.44
522,2471.44
528,2471.44
224,4670.82
561,2471.44
243,4670.82
306,4670.82
240,3677.73
324,2974.93
291,2890.42
318,3678.11
363,2890.42
204,4965.87
242,4087.76
295,4087.76
390,2890.02
212,4373.07
269,3795.32
273,4670.81
277,4087.6
420,2890.02
158,4958.52
248,4378.61
218,4958.52
270,4373.03
345,4066.94
392,3606.52
400,2974.93
518,2471.44
519,2480.48
421,2974.93
458,2974.93
486,2480.48
523,2457.03
538,2471.44
427,3971.39
540,2471.44
140,4665.26
509,2480.48
213,4665.26
507,2480.48
517,2480.48
584,2471.44
521,2480.48
594,2471.44
393,3755.13
568,2480.48
556,2471.44
330,3387.31
328,3678.11
378,2890.42
402,2890.42
577,2471.44
560,2471.44
596,2471.44
487,2960.73
544,2956.0
209,4958.52
574,2471.44
297,4378.61
601,2471.44
207,4965.87
222,4965.87
370,3387.71
573,2480.48
278,3678.13
382,2974.93
625,2480.48
215,3795.15
586,2471.44
469,2974.93
591,2471.44
665,2457.03
301,3965.81
399,3926.45
338,3965.81
637,2471.44
258,4670.82
356,3965.81
602,2471.44
416,2974.93
647,2480.48
288,3795.32
423,2974.93
454,3965.81
360,4073.46
436,2974.93
181,4670.83
331,3795.32
514,2974.93
313,4087.76
542,2480.48
640,2471.44
359,2974.26
380,4087.76
583,2480.48
606,2471.44
309,4665.25
636,2471.44
283,4087.92
410,4378.61
263,4670.82
635,2480.48
597,3309.76
372,3965.81
275,3387.71
483,3912.05
298,4960.3
334,4087.92
340,4670.82
476,2974.93
481,2956.0
280,4373.07
303,4960.3
617,2956.0
371,3971.39
369,2973.22
379,2973.22
585,2932.77
657,2471.44
374,4373.03
397,3387.31
299,4965.87
308,3682.58
536,2974.93
642,2471.44
419,3387.31
461,2890.42
632,2466.08
341,3678.11
548,2974.93
652,2471.44
353,3678.11
666,2471.44
506,3316.54
669,2471.44
375,3678.11
563,2480.48
672,2471.44
624,2974.93
675,2471.44
329,4665.25
578,2480.48
681,2480.48
352,4665.25
626,2480.48
684,2471.44
676,2471.44
282,4965.85
694,2471.44
733,2442.63
618,2480.48
290,4668.06
307,3344.81
455,2974.26
503,2974.26
350,3677.73
238,4378.49
500,2974.93
335,4087.76
418,4909.88
535,2974.93
550,2974.93
668,2471.44
700,2471.44
679,2471.44
722,2471.44
575,4026.14
731,2471.44
734,2471.44
387,3965.81
470,2890.42
735,2471.44
543,2974.93
565,2974.93
412,3387.71
562,3965.84
571,2974.93
590,2974.26
714,2471.44
398,3387.71
741,2457.04
442,3387.71
730,2471.44
758,2471.44
480,3387.71
603,2974.93
367,4670.83
703,2471.44
717,2471.44
729,2471.44
738,2471.44
753,2471.44
748,2471.44
497,4893.6
756,2471.44
474,3971.39
762,2471.44
376,3795.32
364,4965.87
768,2471.44
800,2471.44
510,4373.03
808,2471.44
501,2890.02
764,2471.44
361,4958.52
428,4059.32
557,2890.02
621,3738.39
774,2471.44
780,2471.44
439,3387.71
516,4915.29
785,2471.44
445,3387.71
496,3387.71
655,2974.26
430,3678.13
513,2890.42
576,2974.93
742,2480.48
855,2471.44
620,2974.93
622,2974.93
744,2480.48
787,2471.44
789,2471.44
395,4087.76
623,2974.93
545,2890.42
775,2471.44
414,3795.32
417,4087.76
422,3795.32
796,2471.44
433,3795.32
443,4960.3
654,2890.42
511,4943.91
558,2974.93
658,2890.42
320,3387.54
362,3387.54
401,3965.81
564,2974.93
814,2471.44
357,4665.26
831,2471.44
293,4958.52
381,3387.54
386,3387.54
570,4024.56
317,4670.81
660,2890.42
336,4670.81
712,2974.93
720,2480.48
588,3965.84
383,4668.06
415,4373.07
776,2480.48
788,2480.48
468,4670.83
836,2480.48
866,2471.44
449,3965.81
845,2471.44
452,4670.82
856,2471.44
385,4668.06
504,4670.83
794,2480.48
396,4665.26
805,2480.48
829,2480.48
690,2974.26
815,2480.48
816,2956.0
405,4670.82
801,2471.44
840,2471.44
760,2974.93
850,2471.44
828,2471.44
394,3678.11
773,2956.0
832,2946.97
893,2471.44
912,2471.44
807,2956.0
830,2471.44
839,2480.48
581,3387.31
842,2471.44
529,3971.39
599,3387.31
551,3971.39
884,2471.44
645,4907.94
897,2471.44
435,4087.6
641,3971.39
937,2471.44
460,4373.03
463,4087.6
547,4670.83
406,4665.26
479,4087.6
491,4373.03
693,2974.93
638,3678.11
429,4942.39
900,2471.44
580,4670.82
901,2471.44
471,4087.76
859,2480.48
404,4087.76
453,4965.87
485,3682.58
424,4087.76
484,4087.76
598,4087.76
678,4031.08
464,4965.87
512,4378.61
494,4960.3
589,4665.25
347,2973.22
552,4378.61
534,4965.87
726,2974.93
539,4373.03
682,2974.93
533,4958.52
595,4373.03
705,2480.48
559,4958.52
532,3387.71
